epoch,step,train_loss,val_loss
0,49,0.6215544939041138,
0,99,0.6088983416557312,
0,149,0.6043766140937805,
0,199,0.5998650193214417,
0,249,0.5942710638046265,
0,299,0.5762758851051331,
0,349,0.6007992625236511,
0,399,0.621098518371582,
0,449,0.5708658695220947,
0,499,0.5873042345046997,
0,549,0.5920886993408203,
0,599,0.5963206887245178,
0,649,0.5862799882888794,
0,699,0.5777513384819031,
0,749,0.6013526916503906,
0,799,0.5587621331214905,
0,849,0.5587173104286194,
0,899,0.5666114687919617,
0,949,0.6041315793991089,
0,999,0.5546554923057556,
0,1049,0.6085747480392456,
0,1099,0.570518970489502,
0,1149,0.5847051739692688,
0,1199,0.5649266242980957,
0,1249,0.5905590057373047,
0,1299,0.5936453938484192,
0,1299,,0.4870642423629761
1,1349,0.588748574256897,
1,1399,0.602696418762207,
1,1449,0.5784782767295837,
1,1499,0.5783881545066833,
1,1549,0.5682775974273682,
1,1599,0.6099945902824402,
1,1649,0.5860768556594849,
1,1699,0.5466483235359192,
1,1749,0.5816787481307983,
1,1799,0.5381543040275574,
1,1849,0.56682288646698,
1,1899,0.5645562410354614,
1,1949,0.5755133032798767,
1,1999,0.5490837693214417,
1,2049,0.5647624731063843,
1,2099,0.5743386149406433,
1,2149,0.5374983549118042,
1,2199,0.5572687983512878,
1,2249,0.5501154065132141,
1,2299,0.5685120820999146,
1,2349,0.5910628437995911,
1,2399,0.5501649975776672,
1,2449,0.5553693771362305,
1,2499,0.55376797914505,
1,2549,0.5726094245910645,
1,2599,0.5849010348320007,
1,2599,,0.48524317145347595
2,2649,0.597564697265625,
2,2699,0.5255388617515564,
2,2749,0.554172933101654,
2,2799,0.5858458280563354,
2,2849,0.5874536633491516,
2,2899,0.5806818008422852,
2,2949,0.5644232630729675,
2,2999,0.5432281494140625,
2,3049,0.5477144122123718,
2,3099,0.5424984693527222,
2,3149,0.5838466882705688,
2,3199,0.561266303062439,
2,3249,0.5957412123680115,
2,3299,0.5813922882080078,
2,3349,0.5764922499656677,
2,3399,0.5515782237052917,
2,3449,0.5323122143745422,
2,3499,0.5568304657936096,
2,3549,0.5759983062744141,
2,3599,0.539831280708313,
2,3649,0.599922239780426,
2,3699,0.5528194308280945,
2,3749,0.5607162714004517,
2,3799,0.5315465331077576,
2,3849,0.5697700381278992,
2,3899,0.569419801235199,
2,3899,,0.4860791563987732
